question,answer,Sound,Difficulty
What genre or historical period is this music associated with?,Pop,swift,1
What genre or historical period is this music associated with?,Classical,Mozart,1
What genre or historical period is this music associated with?,Jazz,Duke,1
What genre or historical period is this music associated with?,Blues,BB,1
What genre or historical period is this music associated with?,Disco,BeeGee,1
What genre or historical period is this music associated with?,Pop,madonna,2
What genre or historical period is this music associated with?,Blues,Son,2
What genre or historical period is this music associated with?,Baroque,Bach,2
What genre or historical period is this music associated with?,Romantic,Chopin,2
What genre or historical period is this music associated with?,20th Century,Debussy,2
What genre or historical period is this music associated with?,Disco,Chic,2
What genre or historical period is this music associated with?,Baroque,Vivaldi,3
What genre or historical period is this music associated with?,Jazz,Louis,3
What genre or historical period is this music associated with?,Jazz,Miles,3
