question,answer,Sound,Difficulty
What is the time signature of the Track?,4 4,44time1,1
What is the time signature of the Track?,3 4,34time1,1
What is the time signature of the Track?,6 8,68time1,1
What is the time signature of the Track?,3 4,34time2,1
What is the time signature of the Track?,4 4,44time2,1
What is the time signature of the Track?,2 2,22time1,1
What is the time signature of the Track?,2 2,22time2,2
What is the time signature of the Track?,5 4,54time1,2
What is the time signature of the Track?,5 4,54time2,2
What is the time signature of the Track?,6 8,68time2,2
What is the time signature of the Track?,5 4 ,54time2,2
What is the time signature of the Track?,2 2,22time3,3
What is the time signature of the Track?,5 4,54time3,3
What is the time signature of the Track?,5 4,54time4,3
