question,answer,Sound,Difficulty
C4.svg,C4,c4,1
D4.svg,D4,d4,1
E4.svg,E4,e4,1
F4.svg,F4,f4,1
G4.svg,G4,g4,1
A4.svg,A4,a4,1
G5.svg,G5,g5,1
B3.svg,B3,b3,1
C5.svg,C5,c5,1
D5.svg,D5,d5,1
E5.svg,E5,e5,1
F5.svg,F5,f5,1
G5.svg,G5,g5,1
A5.svg,A5,a5,1
B4.svg,B4,b4,1
C3.svg,C3,c3,2
D3.svg,D3,d3,2
E3.svg,E3,e3,2
F3.svg,F3,f3,2
G3.svg,G3,g3,2
GS_A3.svg,A3,a3,3
GS_A3f.svg,G#3,g-3,3
GS_A3s.svg,A#3,a-3,3
GS_A4f.svg,G#4,g-4,3
GS_B3f.svg,A#3,a-3,3
GS_B4f.svg,A#4,a-4,3
GS_C3s.svg,C#3,c-3,3
GS_C3.svg,C3,c3,3
GS_C5.svg,C5,c5,3
GS_C5s.svg,C#5,c-5,3
GS_D3.svg,D3,d3,3
GS_D3f.svg,C#3,c-3,3
GS_D4s.svg,D#4,d-4,3
GS_D5.svg,D5,d5,3
GS_D5f.svg,C#5,c-5,3
GS_E3f.svg,D#3,d-3,3
GS_E4f.svg,D#4,d-4,3
GS_E5.svg,E5,e5,3
GS_E5f.svg,D#5,d-5,3
GS_F3.svg,F3,f3,3
GS_F4.svg,F4,f4,3
GS_F4s.svg,F#4,f-4,3
GS_F5s.svg,F#5,f-5,3
GS_G4.svg,G4,g4,3
